date  close volume
22/10/2010  3868.5  2710018
25/10/2010  3870  2438531
26/10/2010  3852.6  3108298
27/10/2010  3815.7  3145786
28/10/2010  3834.8  2838068
29/10/2010  3833.5  2874257
01/11/2010  3841.1  2311545
02/11/2010  3865.7  2618055
03/11/2010  3842.9  3124306
04/11/2010  3916.7  4668689
05/11/2010  3916.7  3709317
08/11/2010  3913.7  2458041
09/11/2010  3945.7  3182788
10/11/2010  3888.4  3819339
11/11/2010  3867.3  3151004
12/11/2010  3831.1  3866824
15/11/2010  3864.2  2524349
16/11/2010  3762.4  3612062
17/11/2010  3792.3  2627843
18/11/2010  3867.9  3301766
19/11/2010  3860.1  2976165
22/11/2010  3818.8  2926052
23/11/2010  3724.4  3814168
24/11/2010  3747.6  3241913
25/11/2010  3760.4  2232020
26/11/2010  3728.6  3176795
29/11/2010  3636.9  4216066
30/11/2010  3610.4  4744683
01/12/2010  3669.2  4360509
02/12/2010  3747.0  4935186
03/12/2010  3750.5  3476643
06/12/2010  3749.2  2731774
07/12/2010  3810.5  3804369
08/12/2010  3831.9  3220274
09/12/2010  3858.0  3695682
10/12/2010  3857.3  2599545
13/12/2010  3892.4  3204337
14/12/2010  3902.8  2640287
15/12/2010  3880.1  2939382
16/12/2010  3888.3  2800076
17/12/2010  3867.3  4421146
20/12/2010  3885.0  2439578
21/12/2010  3927.4  2436375
22/12/2010  3919.7  2140932
23/12/2010  3911.3  1458197
24/12/2010  3900.3  306151
27/12/2010  3862.1  1248394
28/12/2010  3858.7  935106
29/12/2010  3890.6  1223951
30/12/2010  3850.7  1326307
31/12/2010  3804.7  620199
03/01/2011  3900.8  1862494
04/01/2011  3916.0  2988819
05/01/2011  3904.6  3224056
06/01/2011  3904.4  3166814
07/01/2011  3865.5  3091964
10/01/2011  3802.0  3225833
11/01/2011  3861.9  3537804
12/01/2011  3945.0  4211125
13/01/2011  3974.8  4849518
14/01/2011  3983.2  3994003
17/01/2011  3975.4  2288847
18/01/2011  4012.6  3680598
19/01/2011  3976.7  3950876
20/01/2011  3964.8  4758856
21/01/2011  4017.4  5534223
24/01/2011  4033.2  3186825
25/01/2011  4019.6  3746287
26/01/2011  4049.0  4207045
27/01/2011  4059.5  4203394
28/01/2011  4002.3  4513046
31/01/2011  4005.5  4083673
01/02/2011  4072.6  4243251
02/02/2011  4066.5  3717776
03/02/2011  4036.5  3524864
04/02/2011  4047.2  3233586
07/02/2011  4090.8  3358150
08/02/2011  4108.2  3876595
09/02/2011  4090.7  3549591
10/02/2011  4095.1  4167838
11/02/2011  4101.3  4165421
14/02/2011  4096.6  3211272
15/02/2011  4110.3  3199498
16/02/2011  4151.2  4583413
17/02/2011  4152.3  4388332
18/02/2011  4157.1  4328268
21/02/2011  4097.4  3124188
22/02/2011  4050.2  4224625
23/02/2011  4013.1  3828068
24/02/2011  4009.6  4318348
25/02/2011  4070.3  3265301
28/02/2011  4110.3  3469646
01/03/2011  4067.1  4058946
02/03/2011  4034.3  4200198
03/03/2011  4060.7  4262511
04/03/2011  4020.2  4097951
07/03/2011  3990.4  3497608
08/03/2011  4015.9  3467502
09/03/2011  3993.8  3510465
10/03/2011  3963.9  3556758
11/03/2011  3928.6  3919187
14/03/2011  3878.0  5259426
15/03/2011  3780.8  7684955
16/03/2011  3696.5  6030372
17/03/2011  3786.2  5383150
18/03/2011  3811.8  6619814
21/03/2011  3904.4  3888324
22/03/2011  3892.7  3627526
23/03/2011  3913.7  3014581
24/03/2011  3968.8  3285932
25/03/2011  3972.3  2589873
28/03/2011  3976.9  2421857
29/03/2011  3987.8  2701294
30/03/2011  4024.4  3186011
31/03/2011  3989.1  3502993
01/04/2011  4054.7  3990249
04/04/2011  4042.9  2788609
05/04/2011  4041.7  3080413
06/04/2011  4048.1  3548287
07/04/2011  4028.3  3375673
08/04/2011  4061.9  2876849
11/04/2011  4038.7  2752104
12/04/2011  3976.6  3705154
13/04/2011  4006.2  2758084
14/04/2011  3970.3  3228553
15/04/2011  3974.4  3566005
18/04/2011  3881.2  4437521
19/04/2011  3908.5  3240637
20/04/2011  4004.6  3713371
21/04/2011  4021.8  3113997
26/04/2011  4045.2  2954964
27/04/2011  4067.7  3361375
28/04/2011  4104.9  3543746
29/04/2011  4106.9  2407792
02/05/2011  4108.7  1935709
03/05/2011  4096.8  3300043
04/05/2011  4043.1  4520902
05/05/2011  4004.8  4126834
06/05/2011  4058.0  4088989
09/05/2011  4007.2  3732437
10/05/2011  4052.5  3550490
11/05/2011  4058.0  3627587
12/05/2011  4023.2  3707345
13/05/2011  4018.8  3610941
16/05/2011  3989.8  3433072
17/05/2011  3941.5  3730525
18/05/2011  3978  2827197
19/05/2011  4027.7  3650686
20/05/2011  3990.8  3949999
23/05/2011  3906.9  3659305
